DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	54.8441	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	54.8965 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2126	28	0	54.8963	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	55.0794	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	55.1276 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	2126	28	0	55.12	0	0
DL	0.0427857	4	2	3	1	1	1	1	0	2126	28	0	55.0895	0	0
DL	0.0527857	5	2	3	1	1	1	1	0	2126	28	0	55.1517	0	0
DL	0.0627857	6	2	3	1	1	1	1	0	2126	28	0	54.9748	0	0
DL	0.0727857	7	2	3	1	1	1	1	0	2126	28	0	54.7837	0	0
DL	0.0827857	8	2	3	1	1	1	1	0	2126	28	0	54.6418	0	0
DL	0.0927857	9	2	3	1	1	1	1	0	2126	28	0	54.6367	0	0
DL	0.102786	10	2	3	1	1	1	1	0	2126	28	0	54.4754	0	0
DL	0.112786	11	2	3	1	1	1	1	0	2126	28	0	54.4145	0	0
DL	0.122786	12	2	3	1	1	1	1	0	2126	28	0	54.4652	0	0
DL	0.132786	13	2	3	1	1	1	1	0	2126	28	0	54.2311	0	0
DL	0.142786	14	2	3	1	1	1	1	0	2126	28	0	54.2824	0	0
DL	0.152786	15	2	3	1	1	1	1	0	2126	28	0	54.3686	0	0
DL	0.162786	16	2	3	1	1	1	1	0	2126	28	0	54.4355	0	0
DL	0.172786	17	2	3	1	1	1	1	0	2126	28	0	54.2361	0	0
DL	0.182786	18	2	3	1	1	1	1	0	2126	28	0	54.2369	0	0
DL	0.192786	19	2	3	1	1	1	1	0	2126	28	0	54.4169	0	0
DL	0.202786	20	2	3	1	1	1	1	0	2126	28	0	54.4404	0	0
DL	0.212786	21	2	3	1	1	1	1	0	2126	28	0	54.3061	0	0
DL	0.222786	22	2	3	1	1	1	1	0	2126	28	0	54.3451	0	0
DL	0.232786	23	2	3	1	1	1	1	0	2126	28	0	54.4635	0	0
DL	0.242786	24	2	3	1	1	1	1	0	2126	28	0	54.4882	0	0
DL	0.252786	25	2	3	1	1	1	1	0	2126	28	0	54.6659	0	0
DL	0.262786	26	2	3	1	1	1	1	0	2126	28	0	54.7633	0	0
DL	0.272786	27	2	3	1	1	1	1	0	2126	28	0	54.9197	0	0
DL	0.282786	28	2	3	1	1	1	1	0	2126	28	0	54.9709	0	0
DL	0.292786	29	2	3	1	1	1	1	0	2126	28	0	54.8706	0	0
DL	0.302786	30	2	3	1	1	1	1	0	2126	28	0	54.6864	0	0
DL	0.312786	31	2	3	1	1	1	1	0	2126	28	0	54.8325	0	0
DL	0.322786	32	2	3	1	1	1	1	0	2126	28	0	54.9733	0	0
DL	0.332786	33	2	3	1	1	1	1	0	2126	28	0	54.9581	0	0
DL	0.342786	34	2	3	1	1	1	1	0	2126	28	0	54.903	0	0
DL	0.352786	35	2	3	1	1	1	1	0	2126	28	0	54.9608	0	0
DL	0.362786	36	2	3	1	1	1	1	0	2126	28	0	54.8121	0	0
DL	0.372786	37	2	3	1	1	1	1	0	2126	28	0	54.8863	0	0
DL	0.382786	38	2	3	1	1	1	1	0	2126	28	0	54.9529	0	0
DL	0.392786	39	2	3	1	1	1	1	0	2126	28	0	55.2622	0	0
DL	0.402786	40	2	3	1	1	1	1	0	2126	28	0	55.4677	0	0
DL	0.412786	41	2	3	1	1	1	1	0	2126	28	0	55.4889	0	0
DL	0.422786	42	2	3	1	1	1	1	0	2126	28	0	55.4261	0	0
DL	0.432786	43	2	3	1	1	1	1	0	2126	28	0	55.5972	0	0
DL	0.442786	44	2	3	1	1	1	1	0	2126	28	0	55.4126	0	0
DL	0.452786	45	2	3	1	1	1	1	0	2126	28	0	55.3745	0	0
DL	0.462786	46	2	3	1	1	1	1	0	2126	28	0	55.4956	0	0
DL	0.472786	47	2	3	1	1	1	1	0	2126	28	0	55.382	0	0
DL	0.482786	48	2	3	1	1	1	1	0	2126	28	0	55.4218	0	0
DL	0.492786	49	2	3	1	1	1	1	0	2126	28	0	55.0988	0	0
DL	0.502786	50	2	3	1	1	1	1	0	2126	28	0	55.1237	0	0
DL	0.512786	51	2	3	1	1	1	1	0	2126	28	0	55.0669	0	0
DL	0.522786	52	2	3	1	1	1	1	0	2126	28	0	54.7642	0	0
DL	0.532786	53	2	3	1	1	1	1	0	2126	28	0	54.8428	0	0
DL	0.542786	54	2	3	1	1	1	1	0	2126	28	0	55.0391	0	0
DL	0.552786	55	2	3	1	1	1	1	0	2126	28	0	55.1076	0	0
DL	0.562786	56	2	3	1	1	1	1	0	2126	28	0	55.2581	0	0
DL	0.572786	57	2	3	1	1	1	1	0	2126	28	0	55.3248	0	0
DL	0.582786	58	2	3	1	1	1	1	0	2126	28	0	55.462	0	0
DL	0.592786	59	2	3	1	1	1	1	0	2126	28	0	55.6119	0	0
DL	0.602786	60	2	3	1	1	1	1	0	2126	28	0	55.6678	0	0
DL	0.612786	61	2	3	1	1	1	1	0	2126	28	0	55.5532	0	0
DL	0.622786	62	2	3	1	1	1	1	0	2126	28	0	55.4549	0	0
DL	0.632786	63	2	3	1	1	1	1	0	2126	28	0	55.3582	0	0
DL	0.642786	64	2	3	1	1	1	1	0	2126	28	0	55.0787	0	0
DL	0.652786	65	2	3	1	1	1	1	0	2126	28	0	55.2528	0	0
DL	0.662786	66	2	3	1	1	1	1	0	2126	28	0	55.1018	0	0
DL	0.672786	67	2	3	1	1	1	1	0	2126	28	0	55.034	0	0
DL	0.682786	68	2	3	1	1	1	1	0	2126	28	0	55.0545	0	0
DL	0.692786	69	2	3	1	1	1	1	0	2126	28	0	55.1843	0	0
DL	0.702786	70	2	3	1	1	1	1	0	2126	28	0	55.1543	0	0
DL	0.712786	71	2	3	1	1	1	1	0	2126	28	0	55.2102	0	0
DL	0.722786	72	2	3	1	1	1	1	0	2126	28	0	55.0154	0	0
DL	0.732786	73	2	3	1	1	1	1	0	2126	28	0	55.106	0	0
DL	0.742786	74	2	3	1	1	1	1	0	2126	28	0	55.144	0	0
DL	0.752786	75	2	3	1	1	1	1	0	2126	28	0	54.6355	0	0
DL	0.762786	76	2	3	1	1	1	1	0	2126	28	0	54.6387	0	0
DL	0.772786	77	2	3	1	1	1	1	0	2126	28	0	54.4988	0	0
DL	0.782786	78	2	3	1	1	1	1	0	2126	28	0	53.909	0	0
DL	0.792786	79	2	3	1	1	1	1	0	2126	28	0	53.8856	0	0
DL	0.802786	80	2	3	1	1	1	1	0	2126	28	0	53.8838	0	0
DL	0.812786	81	2	3	1	1	1	1	0	2126	28	0	53.6601	0	0
DL	0.822786	82	2	3	1	1	1	1	0	2126	28	0	53.6979	0	0
DL	0.832786	83	2	3	1	1	1	1	0	2126	28	0	53.6516	0	0
DL	0.842786	84	2	3	1	1	1	1	0	2126	28	0	53.4742	0	0
DL	0.852786	85	2	3	1	1	1	1	0	2126	28	0	53.4243	0	0
DL	0.862786	86	2	3	1	1	1	1	0	2126	28	0	53.5523	0	0
DL	0.872786	87	2	3	1	1	1	1	0	2126	28	0	53.3566	0	0
DL	0.882786	88	2	3	1	1	1	1	0	2126	28	0	53.429	0	0
DL	0.892786	89	2	3	1	1	1	1	0	2126	28	0	53.6577	0	0
DL	0.902786	90	2	3	1	1	1	1	0	2126	28	0	53.7692	0	0
DL	0.912786	91	2	3	1	1	1	1	0	2126	28	0	53.7767	0	0
DL	0.922786	92	2	3	1	1	1	1	0	2126	28	0	53.6058	0	0
DL	0.932786	93	2	3	1	1	1	1	0	2126	28	0	53.5995	0	0
DL	0.942786	94	2	3	1	1	1	1	0	2126	28	0	53.2975	0	0
DL	0.952786	95	2	3	1	1	1	1	0	2126	28	0	53.0158	0	0
DL	0.962786	96	2	3	1	1	1	1	0	2126	28	0	52.8028	0	0
DL	0.972786	97	2	3	1	1	1	1	0	2126	28	0	52.9815	0	0
DL	0.982786	98	2	3	1	1	1	1	0	2126	28	0	52.9238	0	0
DL	0.992786	99	2	3	1	1	1	1	0	2126	28	0	52.8384	0	0
DL	1.00279	100	2	3	1	1	1	1	0	2126	28	0	52.8044	0	0
DL	1.01279	101	2	3	1	1	1	1	0	2126	28	0	52.8098	0	0
DL	1.02279	102	2	3	1	1	1	1	0	2126	28	0	52.6722	0	0
DL	1.03279	103	2	3	1	1	1	1	0	2126	28	0	52.4549	0	0
DL	1.04279	104	2	3	1	1	1	1	0	2126	28	0	52.2905	0	0
DL	1.05279	105	2	3	1	1	1	1	0	2126	28	0	52.3478	0	0
DL	1.06279	106	2	3	1	1	1	1	0	2126	28	0	52.2688	0	0
DL	1.07279	107	2	3	1	1	1	1	0	2126	28	0	52.2884	0	0
DL	1.08279	108	2	3	1	1	1	1	0	2126	28	0	51.9407	0	0
DL	1.09279	109	2	3	1	1	1	1	0	2126	28	0	51.8656	0	0
DL	1.10279	110	2	3	1	1	1	1	0	2126	28	0	51.8638	0	0
DL	1.11279	111	2	3	1	1	1	1	0	2126	28	0	52.0122	0	0
DL	1.12279	112	2	3	1	1	1	1	0	2126	28	0	51.746	0	0
DL	1.13279	113	2	3	1	1	1	1	0	2126	28	0	51.4798	0	0
DL	1.14279	114	2	3	1	1	1	1	0	2126	28	0	51.2636	0	0
DL	1.15279	115	2	3	1	1	1	1	0	2126	28	0	51.364	0	0
DL	1.16279	116	2	3	1	1	1	1	0	2126	28	0	51.1927	0	0
DL	1.17279	117	2	3	1	1	1	1	0	2126	28	0	51.3907	0	0
DL	1.18279	118	2	3	1	1	1	1	0	2126	28	0	51.3096	0	0
DL	1.19279	119	2	3	1	1	1	1	0	2126	28	0	51.5442	0	0
DL	1.20279	120	2	3	1	1	1	1	0	2126	28	0	51.5323	0	0
DL	1.21279	121	2	3	1	1	1	1	0	2126	28	0	51.4528	0	0
DL	1.22279	122	2	3	1	1	1	1	0	2126	28	0	51.3665	0	0
DL	1.23279	123	2	3	1	1	1	1	0	2126	28	0	51.3306	0	0
DL	1.24279	124	2	3	1	1	1	1	0	2126	28	0	51.3097	0	0
DL	1.25279	125	2	3	1	1	1	1	0	2126	28	0	51.3817	0	0
DL	1.26279	126	2	3	1	1	1	1	0	2126	28	0	51.1908	0	0
DL	1.27279	127	2	3	1	1	1	1	0	2126	28	0	51.1216	0	0
DL	1.28279	128	2	3	1	1	1	1	0	2126	28	0	50.9644	0	0
DL	1.29279	129	2	3	1	1	1	1	0	2126	28	0	50.6741	0	0
DL	1.30279	130	2	3	1	1	1	1	0	2126	28	0	50.8627	0	0
DL	1.31279	131	2	3	1	1	1	1	0	2126	28	0	50.8506	0	0
DL	1.32279	132	2	3	1	1	1	1	0	2126	28	0	50.7084	0	0
DL	1.33279	133	2	3	1	1	1	1	0	2126	28	0	50.6669	0	0
DL	1.34279	134	2	3	1	1	1	1	0	2126	28	0	50.4789	0	0
DL	1.35279	135	2	3	1	1	1	1	0	2126	28	0	50.4385	0	0
DL	1.36279	136	2	3	1	1	1	1	0	2126	28	0	50.4664	0	0
DL	1.37279	137	2	3	1	1	1	1	0	2126	28	0	50.3555	0	0
DL	1.38279	138	2	3	1	1	1	1	0	2126	28	0	50.1912	0	0
DL	1.39279	139	2	3	1	1	1	1	0	2126	28	0	50.1812	0	0
DL	1.40279	140	2	3	1	1	1	1	0	2126	28	0	50.0229	0	0
DL	1.41279	141	2	3	1	1	1	1	0	2126	28	0	49.8871	0	0
DL	1.42279	142	2	3	1	1	1	1	0	2126	28	0	49.8885	0	0
DL	1.43279	143	2	3	1	1	1	1	0	2126	28	0	49.933	0	0
DL	1.44279	144	2	3	1	1	1	1	0	2126	28	0	49.9483	0	0
DL	1.45279	145	2	3	1	1	1	1	0	2126	28	0	50.0005	0	0
DL	1.46279	146	2	3	1	1	1	1	0	2126	28	0	49.861	0	0
DL	1.47279	147	2	3	1	1	1	1	0	2126	28	0	49.8715	0	0
DL	1.48279	148	2	3	1	1	1	1	0	2126	28	0	50.187	0	0
DL	1.49279	149	2	3	1	1	1	1	0	2126	28	0	50.0472	0	0
DL	1.50279	150	2	3	1	1	1	1	0	2126	28	0	50.0589	0	0
DL	1.51279	151	2	3	1	1	1	1	0	2126	28	0	49.9405	0	0
DL	1.52279	152	2	3	1	1	1	1	0	2126	28	0	49.7797	0	0
DL	1.53279	153	2	3	1	1	1	1	0	2126	28	0	49.4791	0	0
DL	1.54279	154	2	3	1	1	1	1	0	2126	28	0	49.5063	0	0
DL	1.55279	155	2	3	1	1	1	1	0	2126	28	0	49.8128	0	0
DL	1.56279	156	2	3	1	1	1	1	0	2126	28	0	49.7219	0	0
DL	1.57279	157	2	3	1	1	1	1	0	2126	28	0	49.8925	0	0
DL	1.58279	158	2	3	1	1	1	1	0	2126	28	0	49.7482	0	0
DL	1.59279	159	2	3	1	1	1	1	0	2126	28	0	49.9222	0	0
DL	1.60279	160	2	3	1	1	1	1	0	2126	28	0	49.862	0	0
DL	1.61279	161	2	3	1	1	1	1	0	2126	28	0	49.9994	0	0
DL	1.62279	162	2	3	1	1	1	1	0	2126	28	0	49.8062	0	0
DL	1.63279	163	2	3	1	1	1	1	0	2126	28	0	49.745	0	0
DL	1.64279	164	2	3	1	1	1	1	0	2126	28	0	49.8441	0	0
DL	1.65279	165	2	3	1	1	1	1	0	2126	28	0	49.8967	0	0
DL	1.66279	166	2	3	1	1	1	1	0	2126	28	0	50.0963	0	0
DL	1.67279	167	2	3	1	1	1	1	0	2126	28	0	50.1635	0	0
DL	1.68279	168	2	3	1	1	1	1	0	2126	28	0	50.3532	0	0
DL	1.69279	169	2	3	1	1	1	1	0	2126	28	0	50.3781	0	0
DL	1.70279	170	2	3	1	1	1	1	0	2126	28	0	50.2698	0	0
DL	1.71279	171	2	3	1	1	1	1	0	2126	28	0	50.0974	0	0
DL	1.72279	172	2	3	1	1	1	1	0	2126	28	0	49.9777	0	0
DL	1.73279	173	2	3	1	1	1	1	0	2126	28	0	49.8105	0	0
DL	1.74279	174	2	3	1	1	1	1	0	2126	28	0	49.6719	0	0
DL	1.75279	175	2	3	1	1	1	1	0	2126	28	0	49.6514	0	0
DL	1.76279	176	2	3	1	1	1	1	0	2126	28	0	49.6797	0	0
DL	1.77279	177	2	3	1	1	1	1	0	2126	28	0	49.4863	0	0
DL	1.78279	178	2	3	1	1	1	1	0	2126	28	0	49.5606	0	0
DL	1.79279	179	2	3	1	1	1	1	0	2126	28	0	49.3666	0	0
DL	1.80279	180	2	3	1	1	1	1	0	2126	28	0	49.2144	0	0
DL	1.81279	181	2	3	1	1	1	1	0	2126	28	0	49.0996	0	0
DL	1.82279	182	2	3	1	1	1	1	0	2126	28	0	48.9606	0	0
DL	1.83279	183	2	3	1	1	1	1	0	2126	28	0	49.1362	0	0
DL	1.84279	184	2	3	1	1	1	1	0	2126	28	0	49.4121	0	0
DL	1.85279	185	2	3	1	1	1	1	0	2126	28	0	49.5079	0	0
DL	1.86279	186	2	3	1	1	1	1	0	2126	28	0	49.6193	0	0
DL	1.87279	187	2	3	1	1	1	1	0	2126	28	0	49.5189	0	0
DL	1.88279	188	2	3	1	1	1	1	0	2126	28	0	49.6494	0	0
DL	1.89279	189	2	3	1	1	1	1	0	2126	28	0	49.6561	0	0
DL	1.90279	190	2	3	1	1	1	1	0	2126	28	0	49.6113	0	0
DL	1.91279	191	2	3	1	1	1	1	0	2126	28	0	49.7698	0	0
DL	1.92279	192	2	3	1	1	1	1	0	2126	28	0	49.7975	0	0
DL	1.93279	193	2	3	1	1	1	1	0	2126	28	0	49.7419	0	0
DL	1.94279	194	2	3	1	1	1	1	0	2126	28	0	49.6223	0	0
DL	1.95279	195	2	3	1	1	1	1	0	2126	28	0	49.6299	0	0
DL	1.96279	196	2	3	1	1	1	1	0	2126	28	0	49.6035	0	0
DL	1.97279	197	2	3	1	1	1	1	0	2126	28	0	49.518	0	0
DL	1.98279	198	2	3	1	1	1	1	0	2126	28	0	49.5813	0	0
DL	1.99279	199	2	3	1	1	1	1	0	2126	28	0	49.4287	0	0
DL	2.00279	200	2	3	1	1	1	1	0	2126	28	0	49.3233	0	0
DL	2.01279	201	2	3	1	1	1	1	0	2126	28	0	49.1442	0	0
DL	2.02279	202	2	3	1	1	1	1	0	2126	28	0	49.5037	0	0
DL	2.03279	203	2	3	1	1	1	1	0	2126	28	0	49.4555	0	0
DL	2.04279	204	2	3	1	1	1	1	0	2126	28	0	49.5751	0	0
DL	2.05279	205	2	3	1	1	1	1	0	2126	28	0	49.6122	0	0
DL	2.06279	206	2	3	1	1	1	1	0	2126	28	0	49.7667	0	0
DL	2.07279	207	2	3	1	1	1	1	0	2126	28	0	49.7482	0	0
DL	2.08279	208	2	3	1	1	1	1	0	2126	28	0	49.6626	0	0
DL	2.09279	209	2	3	1	1	1	1	0	2126	28	0	49.9923	0	0
DL	2.10279	210	2	3	1	1	1	1	0	2126	28	0	50.2865	0	0
DL	2.11279	211	2	3	1	1	1	1	0	2126	28	0	50.1807	0	0
DL	2.12279	212	2	3	1	1	1	1	0	2126	28	0	50.1942	0	0
DL	2.13279	213	2	3	1	1	1	1	0	2126	28	0	50.0755	0	0
DL	2.14279	214	2	3	1	1	1	1	0	2126	28	0	50.2125	0	0
DL	2.15279	215	2	3	1	1	1	1	0	2126	28	0	50.1216	0	0
DL	2.16279	216	2	3	1	1	1	1	0	2126	28	0	50.1479	0	0
DL	2.17279	217	2	3	1	1	1	1	0	2126	28	0	50.1739	0	0
DL	2.18279	218	2	3	1	1	1	1	0	2126	28	0	50.1786	0	0
DL	2.19279	219	2	3	1	1	1	1	0	2126	28	0	50.0267	0	0
DL	2.20279	220	2	3	1	1	1	1	0	2126	28	0	49.8893	0	0
DL	2.21279	221	2	3	1	1	1	1	0	2126	28	0	49.6926	0	0
DL	2.22279	222	2	3	1	1	1	1	0	2126	28	0	49.485	0	0
DL	2.23279	223	2	3	1	1	1	1	0	2126	28	0	49.7462	0	0
DL	2.24279	224	2	3	1	1	1	1	0	2126	28	0	49.852	0	0
DL	2.25279	225	2	3	1	1	1	1	0	2126	28	0	49.5614	0	0
DL	2.26279	226	2	3	1	1	1	1	0	2126	28	0	49.1466	0	0
DL	2.27279	227	2	3	1	1	1	1	0	2126	28	0	48.9791	0	0
DL	2.28279	228	2	3	1	1	1	1	0	2126	28	0	48.8251	0	0
DL	2.29279	229	2	3	1	1	1	1	0	2126	28	0	48.7625	0	0
DL	2.30279	230	2	3	1	1	1	1	0	2126	28	0	49.3154	0	0
DL	2.31279	231	2	3	1	1	1	1	0	2126	28	0	49.2372	0	0
DL	2.32279	232	2	3	1	1	1	1	0	2126	28	0	49.2932	0	0
DL	2.33279	233	2	3	1	1	1	1	0	2126	28	0	49.1575	0	0
DL	2.34279	234	2	3	1	1	1	1	0	2126	28	0	49.1086	0	0
DL	2.35279	235	2	3	1	1	1	1	0	2126	28	0	49.0977	0	0
DL	2.36279	236	2	3	1	1	1	1	0	2126	28	0	49.192	0	0
DL	2.37279	237	2	3	1	1	1	1	0	2126	28	0	49.1636	0	0
DL	2.38279	238	2	3	1	1	1	1	0	2126	28	0	49.2847	0	0
DL	2.39279	239	2	3	1	1	1	1	0	2126	28	0	49.1512	0	0
DL	2.40279	240	2	3	1	1	1	1	0	2126	28	0	49.0739	0	0
DL	2.41279	241	2	3	1	1	1	1	0	2126	28	0	48.9242	0	0
DL	2.42279	242	2	3	1	1	1	1	0	2126	28	0	48.995	0	0
DL	2.43279	243	2	3	1	1	1	1	0	2126	28	0	49.0094	0	0
DL	2.44279	244	2	3	1	1	1	1	0	2126	28	0	48.9886	0	0
DL	2.45279	245	2	3	1	1	1	1	0	2126	28	0	48.9591	0	0
DL	2.46279	246	2	3	1	1	1	1	0	2126	28	0	48.8718	0	0
DL	2.47279	247	2	3	1	1	1	1	0	2126	28	0	48.6523	0	0
DL	2.48279	248	2	3	1	1	1	1	0	2126	28	0	48.7958	0	0
DL	2.49279	249	2	3	1	1	1	1	0	2126	28	0	48.7524	0	0
DL	2.50279	250	2	3	1	1	1	1	0	2126	28	0	48.8215	0	0
DL	2.51279	251	2	3	1	1	1	1	0	2126	28	0	48.811	0	0
DL	2.52279	252	2	3	1	1	1	1	0	2126	28	0	48.8346	0	0
DL	2.53279	253	2	3	1	1	1	1	0	2126	28	0	48.6094	0	0
DL	2.54279	254	2	3	1	1	1	1	0	2126	28	0	48.7708	0	0
DL	2.55279	255	2	3	1	1	1	1	0	2126	28	0	49.1596	0	0
DL	2.56279	256	2	3	1	1	1	1	0	2126	28	0	49.1231	0	0
DL	2.57279	257	2	3	1	1	1	1	0	2126	28	0	49.1906	0	0
DL	2.58279	258	2	3	1	1	1	1	0	2126	28	0	49.2767	0	0
DL	2.59279	259	2	3	1	1	1	1	0	2126	28	0	49.3482	0	0
DL	2.60279	260	2	3	1	1	1	1	0	2126	28	0	49.197	0	0
DL	2.61279	261	2	3	1	1	1	1	0	2126	28	0	49.1564	0	0
DL	2.62279	262	2	3	1	1	1	1	0	2126	28	0	49.1771	0	0
DL	2.63279	263	2	3	1	1	1	1	0	2126	28	0	49.1034	0	0
DL	2.64279	264	2	3	1	1	1	1	0	2126	28	0	49.0708	0	0
DL	2.65279	265	2	3	1	1	1	1	0	2126	28	0	48.9349	0	0
DL	2.66279	266	2	3	1	1	1	1	0	2126	28	0	48.5526	0	0
DL	2.67279	267	2	3	1	1	1	1	0	2126	28	0	48.1771	0	0
DL	2.68279	268	2	3	1	1	1	1	0	2126	28	0	47.9185	0	0
DL	2.69279	269	2	3	1	1	1	1	0	2126	28	0	47.9252	0	0
DL	2.70279	270	2	3	1	1	1	1	0	2126	28	0	47.9206	0	0
DL	2.71279	271	2	3	1	1	1	1	0	2126	28	0	47.8606	0	0
DL	2.72279	272	2	3	1	1	1	1	0	2126	28	0	47.8806	0	0
DL	2.73279	273	2	3	1	1	1	1	0	2126	28	0	47.6389	0	0
DL	2.74279	274	2	3	1	1	1	1	0	2126	28	0	47.5291	0	0
DL	2.75279	275	2	3	1	1	1	1	0	2126	28	0	47.5503	0	0
DL	2.76279	276	2	3	1	1	1	1	0	2126	28	0	47.784	0	0
DL	2.77279	277	2	3	1	1	1	1	0	2126	28	0	47.6542	0	0
DL	2.78279	278	2	3	1	1	1	1	0	2126	28	0	47.4774	0	0
DL	2.79279	279	2	3	1	1	1	1	0	2126	28	0	47.6116	0	0
DL	2.80279	280	2	3	1	1	1	1	0	2126	28	0	47.4705	0	0
DL	2.81279	281	2	3	1	1	1	1	0	2126	28	0	47.6133	0	0
DL	2.82279	282	2	3	1	1	1	1	0	2126	28	0	47.6851	0	0
DL	2.83279	283	2	3	1	1	1	1	0	2126	28	0	47.7928	0	0
DL	2.84279	284	2	3	1	1	1	1	0	2126	28	0	47.6545	0	0
DL	2.85279	285	2	3	1	1	1	1	0	2126	28	0	47.8476	0	0
DL	2.86279	286	2	3	1	1	1	1	0	2126	28	0	47.7924	0	0
DL	2.87279	287	2	3	1	1	1	1	0	2126	28	0	47.7712	0	0
DL	2.88279	288	2	3	1	1	1	1	0	2126	28	0	47.968	0	0
DL	2.89279	289	2	3	1	1	1	1	0	2126	28	0	48.0239	0	0
DL	2.90279	290	2	3	1	1	1	1	0	2126	28	0	47.855	0	0
DL	2.91279	291	2	3	1	1	1	1	0	2126	28	0	47.6785	0	0
DL	2.92279	292	2	3	1	1	1	1	0	2126	28	0	47.5221	0	0
DL	2.93279	293	2	3	1	1	1	1	0	2126	28	0	47.2224	0	0
DL	2.94279	294	2	3	1	1	1	1	0	2126	28	0	47.4039	0	0
DL	2.95279	295	2	3	1	1	1	1	0	2126	28	0	47.3719	0	0
DL	2.96279	296	2	3	1	1	1	1	0	2126	28	0	47.6435	0	0
DL	2.97279	297	2	3	1	1	1	1	0	2126	28	0	47.8288	0	0
DL	2.98279	298	2	3	1	1	1	1	0	2126	28	0	47.8294	0	0
DL	2.99279	299	2	3	1	1	1	1	0	2126	28	0	47.725	0	0
DL	3.00279	300	2	3	1	1	1	1	0	2126	28	0	47.6946	0	0
DL	3.01279	301	2	3	1	1	1	1	0	2126	28	0	47.5979	0	0
DL	3.02279	302	2	3	1	1	1	1	0	2126	28	0	47.7424	0	0
DL	3.03279	303	2	3	1	1	1	1	0	2126	28	0	47.7409	0	0
DL	3.04279	304	2	3	1	1	1	1	0	2126	28	0	47.8611	0	0
DL	3.05279	305	2	3	1	1	1	1	0	2126	28	0	48.0793	0	0
DL	3.06279	306	2	3	1	1	1	1	0	2126	28	0	47.9093	0	0
DL	3.07279	307	2	3	1	1	1	1	0	2126	28	0	47.8799	0	0
DL	3.08279	308	2	3	1	1	1	1	0	2126	28	0	47.9197	0	0
DL	3.09279	309	2	3	1	1	1	1	0	2126	28	0	48.0033	0	0
DL	3.10279	310	2	3	1	1	1	1	0	2126	28	0	48.0095	0	0
DL	3.11279	311	2	3	1	1	1	1	0	2126	28	0	47.9266	0	0
DL	3.12279	312	2	3	1	1	1	1	0	2126	28	0	47.605	0	0
DL	3.13279	313	2	3	1	1	1	1	0	2126	28	0	47.4216	0	0
DL	3.14279	314	2	3	1	1	1	1	0	2126	28	0	47.2845	0	0
DL	3.15279	315	2	3	1	1	1	1	0	2126	28	0	47.2913	0	0
DL	3.16279	316	2	3	1	1	1	1	0	2126	28	0	47.2832	0	0
DL	3.17279	317	2	3	1	1	1	1	0	2126	28	0	47.5187	0	0
DL	3.18279	318	2	3	1	1	1	1	0	2126	28	0	47.3755	0	0
DL	3.19279	319	2	3	1	1	1	1	0	2126	28	0	47.1367	0	0
DL	3.20279	320	2	3	1	1	1	1	0	2126	28	0	47.0148	0	0
DL	3.21279	321	2	3	1	1	1	1	0	2126	28	0	47.0966	0	0
DL	3.22279	322	2	3	1	1	1	1	0	2126	28	0	47.1821	0	0
DL	3.23279	323	2	3	1	1	1	1	0	2126	28	0	47.1831	0	0
DL	3.24279	324	2	3	1	1	1	1	0	2126	28	0	47.1433	0	0
DL	3.25279	325	2	3	1	1	1	1	0	2126	28	0	47.3026	0	0
DL	3.26279	326	2	3	1	1	1	1	0	2126	28	0	47.3674	0	0
DL	3.27279	327	2	3	1	1	1	1	0	2126	28	0	47.2068	0	0
DL	3.28279	328	2	3	1	1	1	1	0	2126	28	0	47.1586	0	0
DL	3.29279	329	2	3	1	1	1	1	0	2126	28	0	47.01	0	0
DL	3.30279	330	2	3	1	1	1	1	0	2126	28	0	46.9032	0	0
DL	3.31279	331	2	3	1	1	1	1	0	2126	28	0	46.594	0	0
DL	3.32279	332	2	3	1	1	1	1	0	2126	28	0	46.479	0	0
DL	3.33279	333	2	3	1	1	1	1	0	2126	28	0	46.4287	0	0
DL	3.34279	334	2	3	1	1	1	1	0	2126	28	0	46.3766	0	0
DL	3.35279	335	2	3	1	1	1	1	0	2126	28	0	46.1223	0	0
DL	3.36279	336	2	3	1	1	1	1	0	2126	28	0	46.5604	0	0
DL	3.37279	337	2	3	1	1	1	1	0	2126	28	0	46.5589	0	0
DL	3.38279	338	2	3	1	1	1	1	0	2126	28	0	46.1714	0	0
DL	3.39279	339	2	3	1	1	1	1	0	2126	28	0	46.3454	0	0
DL	3.40279	340	2	3	1	1	1	1	0	2126	28	0	46.008	0	0
DL	3.41279	341	2	3	1	1	1	1	0	2126	28	0	46.2052	0	0
DL	3.42279	342	2	3	1	1	1	1	0	2126	28	0	46.0513	0	0
DL	3.43279	343	2	3	1	1	1	1	0	2126	28	0	46.0431	0	0
DL	3.44279	344	2	3	1	1	1	1	0	2126	28	0	45.9923	0	0
DL	3.45279	345	2	3	1	1	1	1	0	2126	28	0	46.0576	0	0
